%time,field.header.seq,field.header.stamp,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
1609060339254627179,26696,1609060339254627179,0.0140979209095,-0.0357803388852,0.36276550183,0.931086573127,-0.000541961868294,0.00151536904741,-0.00241869571619,0.759560637496,0.00763929758035,9.79639311612
1609060339257175055,26697,1609060339257175055,0.0140997999065,-0.0357797617718,0.362761670828,0.93108805946,0.000673471367918,0.00186334329192,-0.00308634433895,0.761994863883,0.00850571714155,9.79626576376
1609060339259528747,26698,1609060339259528747,0.0141009855745,-0.0357774707675,0.362757042082,0.931089932934,0.000824937887955,0.00237584067509,-0.00555110443383,0.764720379576,0.0097429116983,9.7953258099
1609060339261213790,26699,1609060339261213790,0.0141007316644,-0.0357767651358,0.362753837654,0.931091212347,5.98929473199e-05,0.00273408577777,-0.00525023695081,0.767473278947,0.0110119945477,9.79415743965
1609060339264595549,26700,1609060339264595549,0.0140989012421,-0.0357783830569,0.362752661934,0.931091635957,-0.000622447871137,0.00246848049574,-0.00518095167354,0.769386923365,0.012203604409,9.79244285631
1609060339266887342,26701,1609060339266887342,0.0140991572078,-0.0357790061705,0.362748947658,0.931093055208,-0.000633388117421,0.00189847568981,-0.0053952280432,0.771009643592,0.0130901144617,9.79092339081
1609060339270799767,26702,1609060339270799767,0.014104218121,-0.03577645532,0.362743211524,0.931095311324,0.00105673121288,0.00206831260584,-0.00570985861123,0.771832030199,0.0136764994073,9.78897922271
1609060339275125040,26703,1609060339275125040,0.0141043051002,-0.0357761893982,0.362740304711,0.931096452677,0.00113667687401,0.00242433976382,-0.00536520872265,0.772007066667,0.0138429191443,9.78772672981
1609060339275341354,26704,1609060339275341354,0.0141025778791,-0.0357744083933,0.36273630439,0.931098105722,8.80336156115e-05,0.00287821213715,-0.00499126361683,0.77144048012,0.0140655028042,9.78578898776
1609060339275560330,26705,1609060339275560330,0.0141049234759,-0.035772078111,0.362729704841,0.931100730742,0.00116738653742,0.00331951957196,-0.0066293515265,0.770466205381,0.0138019714183,9.78480755675
1609060339277713602,26706,1609060339277713602,0.0141071805609,-0.0357720270333,0.362724173177,0.931102853465,0.00105511385482,0.00269873254001,-0.00665715150535,0.768479975961,0.0130893568466,9.7833722139
1609060339281830147,26707,1609060339281830147,0.0141079765452,-0.0357710008767,0.36272129801,0.931104000885,0.000350169284502,0.00243839202449,-0.00502605503425,0.765988280363,0.0119996370859,9.78206772852
1609060339284478864,26708,1609060339284478864,0.0141074204443,-0.0357731130596,0.362723760303,0.931102968947,8.5199251771e-05,0.00154706113972,-0.00276462966576,0.762974177219,0.0105266097332,9.78121014476
1609060339285370725,26709,1609060339285370725,0.0141098622438,-0.0357716719528,0.362722198726,0.931103595646,0.000780146976467,0.00146292988211,-0.00223260931671,0.760054273926,0.00868979022279,9.78067152607
1609060339292317310,26710,1609060339292317310,0.0141118117304,-0.0357672493561,0.36271781632,0.931105443206,0.00157936231699,0.00304855476134,-0.00250448449515,0.756657821618,0.00580936962878,9.78046414036
1609060339293807351,26711,1609060339293807351,0.0141141728739,-0.0357661248729,0.362721472891,0.931104026164,0.00158965052105,0.00294211460277,-0.000257474021055,0.754458072536,0.00370131935505,9.78054534209
1609060339294720873,26712,1609060339294720873,0.0141144734574,-0.0357687094225,0.362721370755,0.931103962113,0.00126455561258,0.00189671292901,-0.000102566787973,0.751456821464,-6.26949300058e-05,9.78070365626
1609060339296954874,26713,1609060339296954874,0.0141142404228,-0.0357691429733,0.362721267705,0.931103989135,1.04749633465e-05,0.00169321219437,-0.00166100845672,0.749039682493,-0.00312774997065,9.78096712375
