%time,field.header.seq,field.header.stamp,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
1609060339227838752,28218,1609060339227838752,-0.0101375645027,0.0418542586267,0.370262295008,0.927928447723,-0.00894768256694,0.00186911504716,0.0169150754809,0.806093811989,-0.202814310789,-9.58487033844
1609060339227869043,28219,1609060339227869043,-0.0101554151624,0.0418435148895,0.370276778936,0.927923083305,-0.00892529543489,0.00321778748184,0.0152401793748,0.840417861938,-0.212693423033,-9.58851718903
1609060339232944412,28220,1609060339232944412,-0.0101629085839,0.0418320707977,0.370296627283,0.92791557312,-0.00750573026016,-0.000475180218928,0.0139748025686,0.834399402142,-0.279609084129,-9.54822158813
1609060339232965448,28221,1609060339232965448,-0.010176946409,0.0418235100806,0.370307594538,0.92791134119,-0.00570358522236,-0.000234966690186,0.0125660151243,0.827296733856,-0.3219614923,-9.57292461395
1609060339238093146,28222,1609060339238093146,-0.0101809408516,0.0418151058257,0.370319366455,0.927907049656,-0.00494736200199,0.00102806393988,0.0107398079708,0.78525185585,-0.294663339853,-9.6312713623
1609060339238174337,28223,1609060339238174337,-0.0101903146133,0.0418052263558,0.370327204466,0.927904248238,-0.0033530225046,-0.000161458621733,0.00944802258164,0.821799278259,-0.339412689209,-9.61651229858
1609060339243259545,28224,1609060339243259545,-0.0101891085505,0.0418017320335,0.370333194733,0.927901983261,-0.000562339555472,0.000943347404245,0.00712335016578,0.8485455513,-0.362047076225,-9.67086696625
1609060339243279946,28225,1609060339243279946,-0.010191607289,0.0418002828956,0.370336771011,0.927900612354,0.00331496680155,0.00304753449745,0.00547550758347,0.8001075387,-0.384846299887,-9.6392364502
1609060339248347106,28226,1609060339248347106,-0.0101873474196,0.0417942516506,0.370339632034,0.927899777889,0.00428871996701,0.0017326825764,0.00295428722166,0.817532837391,-0.430705666542,-9.61244773865
1609060339248359851,28227,1609060339248359851,-0.0101875271648,0.0417908541858,0.370336413383,0.927901208401,0.00498550385237,0.000645700260065,3.68997571059e-05,0.806393742561,-0.416916459799,-9.64277362823
1609060339253481455,28228,1609060339253481455,-0.010173923336,0.0417877212167,0.370335310698,0.927901983261,0.00893499050289,0.000294201425277,-0.00150349992327,0.784668803215,-0.424843549728,-9.70560646057
1609060339253547778,28229,1609060339253547778,-0.0101656541228,0.041792884469,0.370326370001,0.927905440331,0.0134405381978,0.00220680842176,-0.00375046255067,0.797196269035,-0.409314781427,-9.70543193817
1609060339258630170,28230,1609060339258630170,-0.0101485727355,0.0417966321111,0.370314866304,0.927909970284,0.0158218163997,0.00430615851656,-0.00625678151846,0.777619540691,-0.360758930445,-9.69780540466
1609060339258648586,28231,1609060339258648586,-0.010134938173,0.0417971685529,0.370300769806,0.927915811539,0.0172255076468,0.00177760794759,-0.00844881217927,0.823638677597,-0.347353756428,-9.6665802002
1609060339265373272,28232,1609060339265373272,-0.01011447981,0.041806705296,0.370284408331,0.927922129631,0.0193581599742,0.00329123204574,-0.0104412063956,0.822318971157,-0.292407006025,-9.62565994263
1609060339265405245,28234,1609060339265405245,-0.0100726848468,0.041823849082,0.370254695415,0.927933692932,0.0238271690905,0.00446083443239,-0.0115662375465,0.863608181477,-0.256959676743,-9.63906574249
1609060339270579180,28235,1609060339270579180,-0.0100522888824,0.0418296605349,0.370236814022,0.927940785885,0.0244739130139,0.00422418909147,-0.0120962979272,0.84843069315,-0.226256504655,-9.65740013123
1609060339270699271,28236,1609060339270699271,-0.0100320214406,0.0418428815901,0.370221614838,0.927946329117,0.0245096683502,0.00481803435832,-0.0129427593201,0.854046881199,-0.190831929445,-9.64227104187
1609060339275814132,28237,1609060339275814132,-0.0100096967071,0.0418493337929,0.370204031467,0.92795330286,0.0253143478185,0.00476912874728,-0.012783633545,0.834989786148,-0.152358084917,-9.6124124527
1609060339275840569,28238,1609060339275840569,-0.0099918153137,0.0418579801917,0.370194017887,0.927957117558,0.0246687605977,0.00307289464399,-0.0127324163914,0.883476495743,-0.123745545745,-9.62158203125
1609060339280919278,28239,1609060339280919278,-0.00997519493103,0.0418724939227,0.370177537203,0.927963316441,0.0237233489752,0.00691895140335,-0.0122609436512,0.86034488678,-0.00876840017736,-9.67008018494
1609060339280941429,28240,1609060339280941429,-0.00996214430779,0.0418784916401,0.370170891285,0.927965819836,0.023375691846,0.0055282972753,-0.0107482112944,0.867887854576,0.013365007937,-9.54984664917
1609060339286090669,28241,1609060339286090669,-0.00995067879558,0.0418879799545,0.370157599449,0.927970826626,0.0206602383405,0.00443297950551,-0.00950213894248,0.868412494659,0.0012838691473,-9.54654216766
1609060339286221714,28242,1609060339286221714,-0.00994535349309,0.0418901331723,0.370157778263,0.927970707417,0.0174241662025,0.0038782521151,-0.0078832488507,0.820085763931,0.0654149651527,-9.59118175507
1609060339291390559,28243,1609060339291390559,-0.00993769429624,0.0419023633003,0.370149344206,0.927973568439,0.0163279753178,0.00547701958567,-0.00582284945995,0.840151846409,0.0779806524515,-9.61038684845
1609060339291495532,28244,1609060339291495532,-0.00993507169187,0.0419073477387,0.370154231787,0.927971422672,0.0161132346839,0.00702641298994,-0.00377328367904,0.848924398422,0.104253940284,-9.63057422638
1609060339296593306,28245,1609060339296593306,-0.00993051659316,0.0419089086354,0.37015286088,0.927971959114,0.0132536124438,0.00353689817712,-0.000895483943168,0.843435406685,0.0956342071295,-9.59031009674
1609060339296617251,28246,1609060339296617251,-0.00994041375816,0.0419130250812,0.370156556368,0.927970170975,0.0081952707842,0.00509375799447,0.00184322986752,0.811616301537,0.096192240715,-9.6530418396
1609060339301760288,28247,1609060339301760288,-0.00994486734271,0.0419157743454,0.370159655809,0.927968740463,0.00494483206421,0.00688140233979,0.00364234764129,0.804976403713,0.141633599997,-9.61430168152
1609060339301867319,28248,1609060339301867319,-0.00995483621955,0.0419102050364,0.370170742273,0.927964448929,0.00346310809255,0.00352998287417,0.00671915337443,0.817678332329,0.127355799079,-9.52580356598
1609060339306988215,28249,1609060339306988215,-0.00996376853436,0.0419092439115,0.370177805424,0.927961647511,0.0011832973687,0.00282027455978,0.00830143690109,0.800597727299,0.0891222506762,-9.5776758194
1609060339307038619,28251,1609060339307038619,-0.00999522488564,0.0419045910239,0.370211601257,0.927948057652,-0.00333848409355,0.00544292479753,0.0132216801867,0.813926637173,0.120327264071,-9.54453849792
1609060339312113908,28252,1609060339312113908,-0.0100184772164,0.0418984144926,0.370234638453,0.927938878536,-0.00536132138222,0.00134382746182,0.0150247430429,0.806955337524,0.0551820397377,-9.58812332153
